"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Guararapes (SP)";"Total";"Total";"25666";"12378";"13288";"24439";"11835";"12604";"1227";"543";"684"
"Guararema (SP)";"Total";"Total";"25288";"12271";"13017";"24077";"11722";"12355";"1211";"549";"662"
"Guaratinguetá (SP)";"Total";"Total";"97529";"46155";"51374";"95260";"45059";"50201";"2269";"1096";"1173"
"Guareí (SP)";"Total";"Total";"12729";"7868";"4861";"12102";"7504";"4598";"627";"364";"263"
"Guariba (SP)";"Total";"Total";"30291";"14352";"15939";"28488";"13554";"14934";"1803";"798";"1005"
"Guarujá (SP)";"Total";"Total";"231054";"109273";"121781";"222167";"105052";"117115";"8887";"4221";"4666"
"Guarulhos (SP)";"Total";"Total";"1037197";"491572";"545625";"1003779";"476813";"526966";"33418";"14759";"18659"
"Guatapará (SP)";"Total";"Total";"5861";"2942";"2919";"5470";"2757";"2713";"391";"185";"206"
"Guzolândia (SP)";"Total";"Total";"3469";"1768";"1701";"3123";"1609";"1514";"346";"159";"187"
"Herculândia (SP)";"Total";"Total";"7441";"3653";"3788";"7034";"3485";"3549";"407";"168";"239"
"Holambra (SP)";"Total";"Total";"12236";"5990";"6246";"11809";"5792";"6017";"427";"198";"229"
"Hortolândia (SP)";"Total";"Total";"190534";"93719";"96815";"184677";"91244";"93433";"5857";"2475";"3382"
"Iacanga (SP)";"Total";"Total";"8510";"4170";"4340";"8214";"4044";"4170";"296";"126";"170"
"Iacri (SP)";"Total";"Total";"5089";"2501";"2588";"4754";"2357";"2397";"335";"144";"191"
"Iaras (SP)";"Total";"Total";"6760";"4767";"1993";"6397";"4540";"1857";"363";"227";"136"
"Ibaté (SP)";"Total";"Total";"25760";"12710";"13050";"24492";"12118";"12374";"1268";"592";"676"
